"日付","始値","高値","安値","終値","前日比","出来高","貸株残高"
"2026/04/16","441.0","442.0","428.6","428.6","-6.6","21,348,000","83,200"
"2026/04/15","416.6","435.9","416.6","435.2","+25.2","36,579,600","71,000"
"2026/04/14","410.0","411.9","407.9","410.0","+6.2","12,301,000","75,700"
"2026/04/13","400.2","407.5","399.6","403.8","+0.2","10,751,300","79,300"
"2026/04/10","410.0","410.2","402.3","403.6","-6.6","12,589,700","79,500"
"2026/04/09","408.2","412.4","407.2","410.2","0.0","14,839,300","98,500"
"2026/04/08","405.0","410.5","403.2","410.2","+9.0","19,650,300","102,700"
"2026/04/07","394.0","401.2","392.8","401.2","+9.5","13,399,600","102,700"
"2026/04/06","390.0","394.8","389.0","391.7","-1.5","10,560,200","100,800"
"2026/04/03","392.5","395.4","391.9","393.2","+2.0","9,383,200","97,900"
"2026/04/02","392.7","398.2","390.5","391.2","-4.3","16,268,600","95,900"
"2026/04/01","390.7","396.0","386.5","395.5","+12.8","19,710,300","100,700"
"2026/03/31","381.5","389.0","380.5","382.7","+7.1","22,234,200","89,100"
"2026/03/30","372.1","376.1","369.3","375.6","-9.6","21,243,700","95,400"
"2026/03/27","384.4","391.7","384.1","385.2","-0.4","24,205,100","121,400"
"2026/03/26","388.7","390.4","383.4","385.6","-6.7","18,994,300","82,700"
"2026/03/25","391.1","396.0","390.0","392.3","-1.5","18,120,400","78,600"
"2026/03/24","401.9","401.9","387.0","393.8","-0.1","18,321,900","83,800"
"2026/03/23","393.0","395.8","388.1","393.9","-4.0","22,292,500","84,600"
"2026/03/19","401.9","408.7","397.9","397.9","-4.1","21,763,300","109,100"
"2026/03/18","396.5","402.2","396.3","402.0","+3.5","12,386,600","112,100"
"2026/03/17","396.8","400.3","394.8","398.5","+1.0","12,901,900","112,200"
"2026/03/16","400.0","405.2","397.5","397.5","-0.7","15,344,600","112,200"
"2026/03/13","394.7","401.0","393.7","398.2","-1.0","21,877,900","112,700"
"2026/03/12","406.7","411.2","395.0","399.2","-15.5","26,618,100","112,800"
"2026/03/11","411.6","416.0","409.4","414.7","+7.5","32,656,100","108,800"
"2026/03/10","402.0","407.4","396.2","407.2","+8.7","24,977,200","102,700"
"2026/03/09","388.0","398.6","383.3","398.5","+4.9","41,334,400","102,100"
"2026/03/06","380.0","393.6","377.0","393.6","+20.8","30,669,600","102,100"
"2026/03/05","379.0","379.0","371.2","372.8","+1.1","25,369,300","103,100"
"2026/03/04","370.0","375.6","366.0","371.7","-4.0","29,923,700","108,000"
"2026/03/03","388.0","388.0","372.1","375.7","-9.7","26,608,400","163,900"
"2026/03/02","385.0","390.4","383.1","385.4","-3.6","24,440,900","105,000"
"2026/02/27","384.5","390.6","381.3","389.0","+9.1","36,617,200","120,000"
"2026/02/26","370.1","381.4","368.1","379.9","+12.9","27,029,000","110,000"
"2026/02/25","368.7","377.3","366.0","367.0","+1.4","29,834,600","131,400"
"2026/02/24","370.1","372.0","365.1","365.6","-8.7","25,725,800","130,700"
"2026/02/20","382.3","382.5","374.3","374.3","-8.7","21,277,100","130,700"
"2026/02/19","386.7","388.6","381.4","383.0","+0.6","15,125,500","128,600"
"2026/02/18","382.1","383.8","377.2","382.4","+2.3","19,236,000","129,500"
"2026/02/17","390.0","391.0","380.1","380.1","-9.1","20,336,900","112,500"
"2026/02/16","388.0","393.7","385.8","389.2","+1.7","16,793,900","112,500"
"2026/02/13","400.2","402.9","386.6","387.5","-9.5","35,777,000","114,900"
"2026/02/12","417.1","418.5","397.0","397.0","-23.2","47,511,200","205,800"
"2026/02/10","419.8","425.9","417.1","420.2","-4.1","23,472,500","297,800"
"2026/02/09","422.8","430.2","418.7","424.3","+1.1","28,836,300","202,500"
"2026/02/06","413.8","423.2","407.6","423.2","+15.5","48,282,900","120,600"
"2026/02/05","402.2","410.8","391.0","407.7","+29.5","49,218,900","121,700"
"2026/02/04","389.8","393.9","378.2","378.2","-14.1","41,251,800","0"
"2026/02/03","392.0","396.0","390.2","392.3","-2.6","22,110,200","1,000"
"2026/02/02","400.9","401.0","392.4","394.9","-1.7","13,848,900","5,900"
"2026/01/30","400.0","400.0","393.1","396.6","+3.9","16,154,700","5,900"
"2026/01/29","392.0","394.8","389.1","392.7","-3.3","13,589,000","6,000"
"2026/01/28","393.3","397.5","392.6","396.0","-1.7","14,220,300","1,000"
"2026/01/27","399.0","400.3","395.9","397.7","-2.7","16,433,700","8,700"
"2026/01/26","406.0","406.6","399.1","400.4","-5.6","14,607,800","8,700"
"2026/01/23","407.8","409.9","404.1","406.0","+5.7","14,410,500","3,700"
"2026/01/22","401.5","403.2","400.1","400.3","+0.2","12,492,500","3,700"
"2026/01/21","405.4","405.6","397.8","400.1","-4.9","21,047,700","7,700"
"2026/01/20","409.0","409.9","405.0","405.0","-6.7","15,573,100","3,700"
"2026/01/19","404.9","411.7","404.5","411.7","+8.0","15,938,200","3,700"
"2026/01/16","413.0","413.1","403.7","403.7","-8.8","27,075,400","6,700"
"2026/01/15","418.4","420.0","412.5","412.5","-3.5","20,545,100","3,100"
"2026/01/14","415.0","417.7","413.5","416.0","-0.5","14,001,100","1,000"
"2026/01/13","422.0","422.4","415.0","416.5","-0.8","14,818,800","4,100"
"2026/01/09","413.0","418.7","412.3","417.3","+1.3","12,567,200","1,000"
"2026/01/08","418.0","418.1","413.4","416.0","-1.8","15,402,500","5,400"
"2026/01/07","418.0","421.3","415.3","417.8","-5.3","12,858,200","1,000"
"2026/01/06","419.4","425.8","417.2","423.1","+7.5","15,649,900","2,200"
"2026/01/05","420.7","422.2","414.9","415.6","-1.6","14,344,200","1,900"
"2025/12/30","419.5","420.8","415.7","417.2","+0.6","11,471,200","1,000"
"2025/12/29","414.0","419.6","412.1","416.6","+3.3","13,429,300","1,000"
"2025/12/26","413.5","414.7","411.6","413.3","-0.3","10,583,400","1,000"
"2025/12/25","413.4","414.2","411.5","413.6","+3.0","8,694,000","8,000"
"2025/12/24","414.7","414.9","410.5","410.6","-3.8","13,667,100","3,000"
"2025/12/23","411.0","415.9","410.5","414.4","-0.8","20,745,200","1,000"
"2025/12/22","427.2","427.7","414.0","415.2","-12.5","16,761,300","8,000"
"2025/12/19","424.5","428.5","421.7","427.7","+8.7","30,813,700","3,000"
"2025/12/18","414.5","419.7","410.3","419.0","+3.5","14,813,700","6,800"
"2025/12/17","413.0","415.5","410.4","415.5","+3.1","14,308,200","3,700"
"2025/12/16","418.3","418.4","411.4","412.4","-4.0","19,776,200","6,800"
"2025/12/15","414.3","417.0","411.8","416.4","+4.8","11,422,800","6,800"
"2025/12/12","409.0","412.4","408.3","411.6","+2.9","14,768,500","3,800"
"2025/12/11","410.5","410.6","405.9","408.7","-1.8","19,770,000","10,900"
"2025/12/10","412.5","413.8","409.2","410.5","-3.9","18,278,900","6,600"
"2025/12/09","422.0","422.3","412.6","414.4","-5.0","17,453,700","3,900"
"2025/12/08","416.7","420.2","415.7","419.4","+2.7","13,261,300","1,000"
"2025/12/05","411.9","418.0","411.8","416.7","-3.2","16,625,200","1,000"
"2025/12/04","410.0","419.9","410.0","419.9","+10.4","18,797,100","87,900"
"2025/12/03","413.2","414.0","407.4","409.5","-5.0","17,949,400","12,000"
"2025/12/02","412.3","415.2","410.5","414.5","+0.4","12,745,200","1,000"
"2025/12/01","419.3","420.1","411.4","414.1","-6.4","17,930,100","0"
"2025/11/28","422.4","423.9","418.0","420.5","-4.6","15,987,900","5,100"
"2025/11/27","427.0","430.0","423.2","425.1","-0.9","7,860,400","1,100"
"2025/11/26","425.0","431.7","420.2","426.0","+5.0","15,699,200","1,100"
"2025/11/25","422.0","425.2","417.7","421.0","-4.6","17,114,600","1,000"
"2025/11/21","416.1","425.9","415.6","425.6","+6.9","31,840,300","1,000"
"2025/11/20","422.0","425.1","416.6","418.7","-4.2","17,836,200","1,100"
